epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.7327,0.92588,3.53406,1.45415,0.00566,0.86167,0.14311,0.07976,1.17777,3.23798,2.01192,0.00013635,0.00013635,0.00013635
2,11.6676,0.85319,3.22215,1.42262,0.00941,0.95131,0.14762,0.10058,1.02801,3.15817,1.6572,0.000276211,0.000276211,0.000276211
3,14.3914,0.89343,2.86455,1.47407,0.73253,0.10234,0.26426,0.1694,1.14321,2.8099,1.81693,0.000410312,0.000410312,0.000410312
4,17.0422,0.96282,2.6677,1.5038,0.53143,0.27661,0.28618,0.16783,1.21544,2.57798,1.8295,0.000538653,0.000538653,0.000538653
5,19.7496,0.98627,2.47109,1.50657,0.529,0.36001,0.38351,0.21831,1.26079,2.41115,1.94121,0.000661236,0.000661236,0.000661236
6,22.4273,0.96385,2.31452,1.46517,0.55086,0.34299,0.3695,0.22003,1.20608,2.19393,1.89726,0.000778059,0.000778059,0.000778059
7,25.0545,0.99915,2.19366,1.49025,0.40955,0.38901,0.31412,0.19271,1.1558,4.29218,1.91799,0.000801011,0.000801011,0.000801011
8,27.7884,0.92721,2.15595,1.42509,0.50405,0.34523,0.31081,0.16815,1.39138,2.85327,2.06759,0.000783013,0.000783013,0.000783013
9,30.3517,0.96483,2.09252,1.45638,0.72211,0.42189,0.4374,0.21961,1.53747,3.19436,2.39142,0.000765014,0.000765014,0.000765014
10,32.9157,0.94186,2.01837,1.44132,0.51344,0.42765,0.44319,0.24595,1.29851,2.4433,2.06101,0.000747016,0.000747016,0.000747016
11,35.4696,0.90071,1.89729,1.39718,0.66333,0.46269,0.50624,0.29245,1.32351,2.03819,2.10117,0.000729018,0.000729018,0.000729018
12,38.0722,0.88816,1.85406,1.38397,0.56281,0.48468,0.52172,0.30247,1.1286,1.83502,1.84924,0.00071102,0.00071102,0.00071102
13,40.6241,0.9149,1.81651,1.42171,0.58307,0.45555,0.47332,0.28489,1.29494,1.88709,2.04512,0.000693022,0.000693022,0.000693022
14,43.1598,0.85586,1.77914,1.35744,0.62699,0.54232,0.53157,0.31359,1.19791,1.73596,1.88295,0.000675023,0.000675023,0.000675023
15,45.8039,0.88264,1.76758,1.40521,0.63902,0.46683,0.54928,0.3343,1.2336,1.80444,1.9962,0.000657025,0.000657025,0.000657025
16,48.3654,0.89663,1.74607,1.41292,0.83772,0.52832,0.62886,0.38253,1.17946,1.62149,1.84869,0.000639027,0.000639027,0.000639027
17,50.8822,0.85592,1.64963,1.35097,0.78566,0.58965,0.67862,0.43202,1.13015,1.52751,1.72187,0.000621029,0.000621029,0.000621029
18,53.4257,0.80237,1.5764,1.30756,0.71334,0.59561,0.59992,0.39851,1.14831,1.76615,1.77016,0.000603031,0.000603031,0.000603031
19,55.9237,0.7893,1.45738,1.31192,0.71832,0.50953,0.56139,0.36216,1.22883,1.81269,1.89141,0.000585032,0.000585032,0.000585032
20,58.4409,0.80225,1.45998,1.35067,0.78243,0.48372,0.53976,0.30154,1.49516,1.73873,2.22984,0.000567034,0.000567034,0.000567034
21,60.9495,0.79369,1.46086,1.32232,0.75483,0.54467,0.57307,0.33961,1.32123,1.78612,1.98254,0.000549036,0.000549036,0.000549036
22,63.5118,0.77065,1.45704,1.30137,0.75319,0.56989,0.61839,0.40116,1.08434,1.87977,1.77047,0.000531038,0.000531038,0.000531038
23,66.0063,0.76969,1.43542,1.3063,0.8096,0.67919,0.72109,0.44888,1.10692,1.46425,1.89268,0.00051304,0.00051304,0.00051304
24,68.5489,0.72967,1.35838,1.31311,0.84912,0.63852,0.68956,0.44828,1.03575,1.43243,1.68852,0.000495041,0.000495041,0.000495041
25,71.1027,0.7465,1.26244,1.2939,0.8901,0.6608,0.7103,0.45276,1.05824,1.42767,1.6946,0.000477043,0.000477043,0.000477043
